symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC270115P00073000,,,,,,,,,34.65,13,E,32.119,14,E,A,2025-11-19T18:00:37.905634409Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,73000,0.5609,-0.7411,0.0136,-0.7251,-0.0032,0.1377
BTC280121P00046000,,,,,,,,,16.82,5,A,12.65,19,B,A,2025-11-19T18:00:35.2996886Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,46000,0.5537,-0.3778,0.0118,-0.645,-0.0051,0.2217
BTC251219P00080000,,,,,,,,,41.59,23,Z,39.47,20,E, ,2025-11-19T18:00:26.881716058Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,80000,,,,,,
BTC260320P00070000,27.1,27.1,27.1,1.0,27.1,2025-11-14T05:00:00Z,5.0,27.1,31.79,20,B,28.06,20,Z,A,2025-11-19T17:39:11.657190112Z,a,27.1,5.0,2025-11-14T17:15:27.150361791Z,X,27.1,27.1,27.1,1.0,27.1,2025-11-14T17:15:00Z,5.0,27.1,22.85,22.85,22.85,1.0,22.85,2025-10-30T04:00:00Z,5.0,22.85,2026-03-20,70000,0.5964,-0.9267,0.0102,-0.2208,-0.0008,0.0317
BTC270115C00073000,,,,,,,,,4.64,13,M,1.48,15,A,A,2025-11-19T18:00:11.293534662Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,73000,0.5769,0.2703,0.0135,0.0883,-0.0104,0.1408
BTC260116C00075000,0.55,0.55,0.55,1.0,0.55,2025-11-13T05:00:00Z,1.0,0.55,0.73,315,A,0.03,80,X,A,2025-11-19T17:49:22.606117395Z,I,0.55,1.0,2025-11-13T18:52:44.758002008Z,B,0.55,0.55,0.55,1.0,0.55,2025-11-13T18:52:00Z,1.0,0.55,0.37,0.37,0.37,1.0,0.37,2025-11-07T05:00:00Z,10.0,0.37,2026-01-16,75000,0.9413,0.0669,0.0087,0.0036,-0.0169,0.0205
BTC270115P00065000,18.53,18.53,18.53,1.0,18.53,2025-10-10T04:00:00Z,1.0,18.53,27.74,25,B,25.08,25,B,A,2025-11-19T17:38:16.5719151Z,f,18.53,1.0,2025-10-10T15:31:47.560211828Z,W,18.53,18.53,18.53,1.0,18.53,2025-10-10T15:31:00Z,1.0,18.53,21.8,22.1,21.8,8.0,22.03,2025-07-07T04:00:00Z,150.0,21.925733,2027-01-15,65000,0.5448,-0.6863,0.0153,-0.6194,-0.0047,0.1509
BTC260116P00069000,,,,,,,,,30.59,17,Z,28.13,20,Z, ,2025-11-19T17:42:16.227950067Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,69000,0.8424,-0.929,0.0102,-0.1051,-0.0085,0.0214
BTC251219C00042000,1.56,1.75,1.4,7.0,1.75,2025-11-19T05:00:00Z,25.0,1.4888,1.67,38,B,1.37,16,B, ,2025-11-19T17:57:31.643025249Z,a,1.56,1.0,2025-11-19T16:58:42.870351874Z,X,1.56,1.56,1.56,1.0,1.56,2025-11-19T16:58:00Z,1.0,1.56,2.15,2.28,2.08,9.0,2.13,2025-11-18T05:00:00Z,62.0,2.128387,2025-12-19,42000,0.5367,0.387,0.0629,0.0113,-0.0403,0.0434
BTC270115C00042000,10.2,10.2,9.84,2.0,9.84,2025-11-18T05:00:00Z,3.0,10.08,10.53,27,B,8.35,18,D, ,2025-11-19T18:00:31.324915686Z,I,10.07,2.0,2025-11-18T16:07:22.422495327Z,P,10.2,10.2,10.2,1.0,10.2,2025-11-18T16:07:00Z,2.0,10.2,9.5,10.19,9.5,2.0,10.19,2025-11-17T05:00:00Z,3.0,9.73,2027-01-15,42000,0.5821,0.6111,0.0155,0.1705,-0.0127,0.1632
BTC260320P00045000,7.0,7.0,7.0,1.0,7.0,2025-11-18T05:00:00Z,1.0,7.0,8.189,19,A,6.6,577,X,A,2025-11-19T18:00:35.197971585Z,I,7.0,1.0,2025-11-18T20:58:33.814953763Z,U,7.0,7.0,7.0,1.0,7.0,2025-11-18T20:58:00Z,1.0,7.0,5.9,5.9,5.9,1.0,5.9,2025-11-17T05:00:00Z,1.0,5.9,2026-03-20,45000,0.4752,-0.6124,0.0354,-0.1049,-0.0138,0.0873
