symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC260618C00059000,2.75,487,A,1.37,223,A,A,2025-11-19T19:02:14.961859603Z,2026-06-18,59000,0.5632,0.2494,0.0188,0.045,-0.0135,0.0952,4.4,4.4,4.4,1.0,4.4,2025-11-04T05:00:00Z,2.0,4.4,I,4.34,2.0,2025-11-04T20:36:59.470520755Z,A,4.4,4.4,4.4,1.0,4.4,2025-11-04T20:36:00Z,2.0,4.4,,,,,,,,
BTC260618P00040000,6.42,26,U,5.5,150,X, ,2025-11-19T19:01:42.771374275Z,2026-06-18,40000,0.5154,-0.415,0.0252,-0.1291,-0.012,0.1169,5.8,6.04,5.8,2.0,6.04,2025-11-19T05:00:00Z,11.0,5.821818,I,5.8,10.0,2025-11-19T18:41:18.756856963Z,T,5.8,5.8,5.8,1.0,5.8,2025-11-19T18:41:00Z,10.0,5.8,5.15,5.15,5.12,2.0,5.12,2025-11-17T05:00:00Z,6.0,5.145
BTC280121P00049000,19.02,9,A,14.29,13,E,A,2025-11-19T19:03:13.931585887Z,2028-01-21,49000,0.5487,-0.4113,0.0122,-0.7143,-0.0049,0.2262,16.14,16.14,16.14,1.0,16.14,2025-11-17T05:00:00Z,50.0,16.14,a,16.14,50.0,2025-11-17T17:47:36.074625551Z,J,16.14,16.14,16.14,1.0,16.14,2025-11-17T17:47:00Z,50.0,16.14,13.99,13.99,13.99,1.0,13.99,2025-11-11T05:00:00Z,50.0,13.99
BTC251219C00053000,0.73,360,A,0.0,0,?, ,2025-11-19T19:00:27.012898597Z,2025-12-19,53000,,,,,,,0.22,0.22,0.22,1.0,0.22,2025-11-17T05:00:00Z,1.0,0.22,g,0.22,1.0,2025-11-17T14:42:43.57139089Z,C,0.22,0.22,0.22,1.0,0.22,2025-11-17T14:42:00Z,1.0,0.22,0.6,0.6,0.6,1.0,0.6,2025-11-13T05:00:00Z,10.0,0.6
BTC280121C00040000,16.26,12,U,11.98,25,E,A,2025-11-19T19:02:38.5374561Z,2028-01-21,40000,0.595,0.6928,0.0102,0.2869,-0.0089,0.2043,14.45,14.45,14.45,1.0,14.45,2025-11-19T05:00:00Z,1.0,14.45,g,14.45,1.0,2025-11-19T15:13:07.179006727Z,C,14.45,14.45,14.45,1.0,14.45,2025-11-19T15:13:00Z,1.0,14.45,14.4,14.4,14.4,1.0,14.4,2025-11-18T05:00:00Z,5.0,14.4
BTC251219P00027000,0.73,280,A,0.0,0,?, ,2025-11-19T19:00:27.012618209Z,2025-12-19,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115C00039000,12.48,32,A,8.82,19,U,A,2025-11-19T19:02:57.293372064Z,2027-01-15,39000,0.594,0.6553,0.0146,0.1757,-0.0124,0.1562,21.84,21.84,21.84,1.0,21.84,2025-10-03T04:00:00Z,5.0,21.84,a,21.84,5.0,2025-10-03T19:52:09.0333835Z,X,21.84,21.84,21.84,1.0,21.84,2025-10-03T19:52:00Z,5.0,21.84,18.59,18.59,18.59,1.0,18.59,2025-09-17T04:00:00Z,5.0,18.59
BTC260320P00025000,0.68,23,U,0.18,643,A,A,2025-11-19T19:03:01.827664244Z,2026-03-20,25000,0.5999,-0.0631,0.0091,-0.0097,-0.0067,0.0281,0.56,0.9,0.56,3.0,0.9,2025-11-19T05:00:00Z,15.0,0.703333,a,0.56,5.0,2025-11-19T15:40:52.607541316Z,C,0.56,0.56,0.56,1.0,0.56,2025-11-19T15:40:00Z,5.0,0.56,0.47,0.5,0.47,3.0,0.5,2025-11-17T05:00:00Z,3.0,0.48
BTC260116P00066000,27.51,20,B,24.51,20,B, ,2025-11-19T19:01:56.185885644Z,2026-01-16,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320C00074000,0.73,255,A,0.0,0,?,A,2025-11-19T19:02:26.890725027Z,2026-03-20,74000,,,,,,,2.3,2.3,2.3,1.0,2.3,2025-10-02T04:00:00Z,2.0,2.3,I,2.27,2.0,2025-10-02T19:22:22.302438333Z,A,2.3,2.3,2.3,1.0,2.3,2025-10-02T19:22:00Z,2.0,2.3,1.5,1.5,1.5,1.0,1.5,2025-09-23T04:00:00Z,1.0,1.5
