symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC280121P00063000,,,,,,,,,29.6,9,E,24.91,12,U,A,2025-11-19T19:04:50.455836845Z,,,,,,,,,,,,,,2028-01-21,63000,0.5727,-0.519,0.012,-1.0371,-0.0041,0.2318,,,,,,,,
BTC280121P00040000,10.25,10.25,10.25,1.0,10.25,2025-11-19T05:00:00Z,1.0,10.25,13.18,11,B,8.48,20,A,A,2025-11-19T19:03:53.130984752Z,g,10.25,1.0,2025-11-19T15:13:07.17901172Z,C,10.25,10.25,10.25,1.0,10.25,2025-11-19T15:13:00Z,1.0,10.25,2028-01-21,40000,0.5421,-0.3185,0.0113,-0.5084,-0.005,0.2076,10.3,10.3,10.3,1.0,10.3,2025-11-18T05:00:00Z,5.0,10.3
BTC251219P00049000,5.42,5.42,5.42,1.0,5.42,2025-11-13T05:00:00Z,1.0,5.42,10.03,13,E,8.0,35,B, ,2025-11-19T19:01:42.919412083Z,g,5.42,1.0,2025-11-13T18:48:52.572333284Z,C,5.42,5.42,5.42,1.0,5.42,2025-11-13T18:48:00Z,1.0,5.42,2025-12-19,49000,,,,,,,4.2,4.5,4.2,2.0,4.5,2025-11-11T05:00:00Z,15.0,4.3
BTC260618P00048000,9.32,9.32,9.32,1.0,9.32,2025-11-14T05:00:00Z,5.0,9.32,12.86,386,A,9.93,338,X,A,2025-11-19T19:04:38.874805676Z,g,9.32,5.0,2025-11-14T19:06:10.698141855Z,C,9.32,9.32,9.32,1.0,9.32,2025-11-14T19:06:00Z,5.0,9.32,2026-06-18,48000,0.5393,-0.5872,0.0241,-0.1998,-0.0114,0.1168,7.76,7.76,7.76,1.0,7.76,2025-11-12T05:00:00Z,1.0,7.76
BTC251219P00059000,,,,,,,,,21.59,19,Z,17.72,19,Z, ,2025-11-19T19:00:00.256445703Z,,,,,,,,,,,,,,2025-12-19,59000,0.8881,-0.925,0.0141,-0.0462,-0.0176,0.016,,,,,,,,
BTC270115C00037000,,,,,,,,,13.38,30,A,9.84,16,U,A,2025-11-19T19:04:56.477377889Z,,,,,,,,,,,,,,2027-01-15,37000,0.603,0.6863,0.0139,0.1789,-0.0122,0.1505,,,,,,,,
BTC270115C00030000,15.0,15.0,15.0,1.0,15.0,2025-11-19T05:00:00Z,4.0,15.0,16.67,20,S,14.75,1,A,B,2025-11-19T19:04:51.776393974Z,I,15.0,4.0,2025-11-19T16:25:54.944559592Z,I,15.0,15.0,15.0,1.0,15.0,2025-11-19T16:25:00Z,4.0,15.0,2027-01-15,30000,0.6647,0.7873,0.0103,0.1775,-0.0112,0.1232,16.6,16.6,16.6,1.0,16.6,2025-11-17T05:00:00Z,1.0,16.6
BTC270115P00071000,,,,,,,,,33.31,11,U,30.57,16,E,A,2025-11-19T19:03:58.11425635Z,,,,,,,,,,,,,,2027-01-15,71000,0.5733,-0.7189,0.0139,-0.6973,-0.004,0.1431,,,,,,,,
BTC260320P00025000,0.56,0.9,0.56,3.0,0.9,2025-11-19T05:00:00Z,15.0,0.703333,0.68,23,U,0.18,644,A,A,2025-11-19T19:04:02.325288314Z,a,0.56,5.0,2025-11-19T15:40:52.607541316Z,C,0.56,0.56,0.56,1.0,0.56,2025-11-19T15:40:00Z,5.0,0.56,2026-03-20,25000,0.6004,-0.063,0.0091,-0.0097,-0.0067,0.0281,0.47,0.5,0.47,3.0,0.5,2025-11-17T05:00:00Z,3.0,0.48
BTC251219C00035000,18.8,18.8,18.8,1.0,18.8,2025-07-18T04:00:00Z,5.0,18.8,6.92,745,X,5.22,23,U, ,2025-11-19T19:03:48.586097934Z,a,18.67,5.0,2025-07-18T15:10:29.096368059Z,X,18.8,18.8,18.8,1.0,18.8,2025-07-18T15:10:00Z,5.0,18.8,2025-12-19,35000,0.7764,0.7469,0.0364,0.0192,-0.0494,0.0362,19.7,20.2,19.7,2.0,20.2,2025-07-14T04:00:00Z,9.0,19.866667
BTC251121P00054000,6.3,6.3,6.3,1.0,6.3,2025-10-23T04:00:00Z,1.0,6.3,14.82,38,A,12.88,51,S,A,2025-11-19T19:04:56.559288146Z,f,6.3,1.0,2025-10-23T17:25:21.368112763Z,I,6.3,6.3,6.3,1.0,6.3,2025-10-23T17:25:00Z,1.0,6.3,2025-11-21,54000,,,,,,,5.85,5.85,5.85,1.0,5.85,2025-10-16T04:00:00Z,1.0,5.85
BTC251219P00045000,5.8,5.9,5.8,7.0,5.9,2025-11-19T05:00:00Z,28.0,5.871429,6.29,23,U,5.66,277,A,A,2025-11-19T19:04:29.296001622Z,I,5.8,1.0,2025-11-19T16:42:35.688919312Z,U,5.8,5.8,5.8,6.0,5.8,2025-11-19T16:42:00Z,8.0,5.8,2025-12-19,45000,0.4904,-0.7999,0.0505,-0.0309,-0.0218,0.0317,4.41,5.1,4.41,4.0,5.1,2025-11-18T05:00:00Z,4.0,4.755
BTC270115C00032000,,,,,,,,,14.91,17,U,11.93,16,U, ,2025-11-19T19:00:28.254768264Z,,,,,,,,,,,,,,2027-01-15,32000,0.5658,0.7626,0.0129,0.1927,-0.0104,0.1311,,,,,,,,
BTC270115P00073000,,,,,,,,,35.31,12,E,32.09,12,E,A,2025-11-19T19:04:57.939848413Z,,,,,,,,,,,,,,2027-01-15,73000,0.5771,-0.7312,0.0135,-0.7232,-0.0036,0.14,,,,,,,,
BTC270115C00044000,11.7,11.7,11.4,6.0,11.4,2025-11-06T05:00:00Z,6.0,11.5,9.84,29,A,6.76,22,U,A,2025-11-19T19:04:12.658910582Z,I,11.7,1.0,2025-11-06T17:27:01.362646893Z,N,11.7,11.7,11.7,1.0,11.7,2025-11-06T17:27:00Z,1.0,11.7,2027-01-15,44000,0.5584,0.5736,0.0165,0.1657,-0.0124,0.1664,,,,,,,,
BTC251219P00041000,3.3,3.3,2.62,4.0,2.62,2025-11-19T05:00:00Z,12.0,3.076667,3.34,26,U,2.77,248,A,A,2025-11-19T19:04:40.244329912Z,I,3.3,4.0,2025-11-19T18:49:08.443902395Z,U,3.3,3.3,3.3,1.0,3.3,2025-11-19T18:49:00Z,4.0,3.3,2025-12-19,41000,0.4974,-0.5692,0.0698,-0.021,-0.0341,0.0445,2.27,2.58,2.1,8.0,2.58,2025-11-18T05:00:00Z,40.0,2.3525
BTC280121C00061000,9.25,9.25,9.25,1.0,9.25,2025-11-14T05:00:00Z,3.0,9.25,10.42,15,B,5.72,11,E,A,2025-11-19T19:04:03.538899905Z,a,9.25,3.0,2025-11-14T20:59:34.356361944Z,X,9.25,9.25,9.25,1.0,9.25,2025-11-14T20:59:00Z,3.0,9.25,2028-01-21,61000,0.558,0.4874,0.0123,0.2425,-0.0092,0.2319,,,,,,,,
BTC251121P00046000,6.7,6.7,5.67,5.0,5.67,2025-11-19T05:00:00Z,13.0,6.357692,6.92,125,X,6.18,83,A, ,2025-11-19T19:04:47.464147056Z,I,6.7,5.0,2025-11-19T18:28:27.511617563Z,C,6.7,6.7,6.7,1.0,6.7,2025-11-19T18:28:00Z,5.0,6.7,2025-11-21,46000,,,,,,,4.8,5.38,4.8,3.0,5.38,2025-11-18T05:00:00Z,9.0,5.082222
BTC251219C00071000,0.5,0.5,0.5,1.0,0.5,2025-09-10T04:00:00Z,1.0,0.5,0.73,307,A,0.0,0,?,A,2025-11-19T19:00:42.161858041Z,a,0.5,1.0,2025-09-10T15:17:47.267368906Z,X,0.5,0.5,0.5,1.0,0.5,2025-09-10T15:17:00Z,1.0,0.5,2025-12-19,71000,,,,,,,,,,,,,,
BTC260116C00074000,,,,,,,,,0.73,301,A,0.0,0,?,A,2025-11-19T19:00:46.347972025Z,,,,,,,,,,,,,,2026-01-16,74000,,,,,,,,,,,,,,
BTC251219C00062000,0.72,0.72,0.72,1.0,0.72,2025-10-28T04:00:00Z,1.0,0.72,0.67,488,A,0.0,0,?, ,2025-11-19T19:02:44.959942917Z,a,0.72,1.0,2025-10-28T19:41:50.660361213Z,X,0.72,0.72,0.72,1.0,0.72,2025-10-28T19:41:00Z,1.0,0.72,2025-12-19,62000,,,,,,,0.75,0.82,0.75,2.0,0.82,2025-10-24T04:00:00Z,4.0,0.8025
BTC251121P00056000,6.1,6.16,6.0,5.0,6.0,2025-09-19T04:00:00Z,15.0,6.110667,17.12,45,A,15.18,51,S,A,2025-11-19T19:04:50.193596916Z,S,6.17,5.0,2025-09-19T19:53:18.196455054Z,M,6.1,6.1,6.1,1.0,6.1,2025-09-19T19:53:00Z,5.0,6.1,2025-11-21,56000,,,,,,,,,,,,,,
BTC251219C00046000,0.83,0.9,0.83,8.0,0.83,2025-11-18T05:00:00Z,16.0,0.8475,0.68,18,A,0.42,22,Z,A,2025-11-19T19:04:59.457760911Z,a,0.83,3.0,2025-11-18T20:56:59.402389076Z,I,0.83,0.83,0.83,1.0,0.83,2025-11-18T20:56:00Z,3.0,0.83,2025-12-19,46000,0.53,0.1809,0.0439,0.0054,-0.027,0.0298,0.8,1.01,0.8,5.0,1.01,2025-11-17T05:00:00Z,16.0,0.868125
BTC260618P00043000,5.3,5.3,5.3,1.0,5.3,2025-11-05T05:00:00Z,9.0,5.3,8.95,630,X,6.56,612,X, ,2025-11-19T19:02:05.740690058Z,a,5.3,9.0,2025-11-05T16:59:35.492366419Z,X,5.3,5.3,5.3,1.0,5.3,2025-11-05T16:59:00Z,9.0,5.3,2026-06-18,43000,0.5174,-0.4868,0.0257,-0.1559,-0.0119,0.1196,,,,,,,,
BTC251219C00065000,0.1,0.1,0.03,2.0,0.03,2025-11-17T05:00:00Z,4.0,0.0825,0.73,300,A,0.0,0,?,A,2025-11-19T19:00:38.947026226Z,a,0.1,3.0,2025-11-17T20:30:40.641358222Z,X,0.1,0.1,0.1,1.0,0.1,2025-11-17T20:30:00Z,3.0,0.1,2025-12-19,65000,,,,,,,0.08,0.08,0.08,1.0,0.08,2025-11-13T05:00:00Z,1.0,0.08
BTC260116C00051000,0.74,0.74,0.74,1.0,0.74,2025-11-18T05:00:00Z,5.0,0.74,1.07,254,A,0.28,20,U,A,2025-11-19T19:04:45.622066015Z,a,0.74,5.0,2025-11-18T20:14:52.099362304Z,X,0.74,0.74,0.74,1.0,0.74,2025-11-18T20:14:00Z,5.0,0.74,2026-01-16,51000,0.5656,0.1592,0.0273,0.0089,-0.0192,0.0382,2.4,2.4,2.4,1.0,2.4,2025-11-11T05:00:00Z,10.0,2.4
BTC260116C00035000,6.8,7.3,6.8,2.0,7.3,2025-11-19T05:00:00Z,2.0,7.05,6.69,32,M,6.06,23,U,A,2025-11-19T19:04:51.48299172Z,I,6.8,1.0,2025-11-19T15:34:17.110245162Z,U,6.8,6.8,6.8,1.0,6.8,2025-11-19T15:34:00Z,1.0,6.8,2026-01-16,35000,0.6051,0.7401,0.0341,0.0363,-0.0291,0.051,7.51,7.51,7.51,1.0,7.51,2025-11-18T05:00:00Z,5.0,7.51
BTC260116C00025000,21.0,21.0,21.0,1.0,21.0,2025-11-11T05:00:00Z,14.0,21.0,16.72,670,X,14.45,94,A, ,2025-11-19T19:02:05.74002357Z,e,21.0,14.0,2025-11-11T20:07:04.266001933Z,B,21.0,21.0,21.0,1.0,21.0,2025-11-11T20:07:00Z,14.0,21.0,2026-01-16,25000,1.0846,0.9008,0.0102,0.0317,-0.0278,0.0274,20.1,20.1,20.1,1.0,20.1,2025-11-06T05:00:00Z,3.0,20.1
BTC270115C00068000,,,,,,,,,5.43,17,X,0.68,11,E,A,2025-11-19T19:04:27.866720309Z,,,,,,,,,,,,,,2027-01-15,68000,0.5398,0.2815,0.0147,0.0931,-0.0099,0.1432,,,,,,,,
BTC270115C00052000,7.77,7.78,7.77,2.0,7.78,2025-11-14T05:00:00Z,2.0,7.775,7.82,31,A,3.93,24,A,A,2025-11-19T19:04:23.314375822Z,f,7.77,1.0,2025-11-14T19:06:21.166388716Z,J,7.77,7.78,7.77,2.0,7.78,2025-11-14T19:06:00Z,2.0,7.775,2027-01-15,52000,0.5464,0.4571,0.0171,0.1406,-0.0121,0.1683,14.4,14.4,14.4,1.0,14.4,2025-10-13T04:00:00Z,1.0,14.4
BTC251219P00044000,4.81,4.81,4.62,3.0,4.62,2025-11-19T05:00:00Z,3.0,4.693333,5.57,24,U,4.03,65,E,A,2025-11-19T19:04:37.486747598Z,g,4.81,1.0,2025-11-19T17:42:17.233303393Z,C,4.81,4.81,4.81,1.0,4.81,2025-11-19T17:42:00Z,1.0,4.81,2025-12-19,44000,0.381,-0.8193,0.061,-0.0305,-0.0149,0.0298,3.9,4.45,3.9,2.0,4.45,2025-11-18T05:00:00Z,2.0,4.175
BTC251219C00029000,,,,,,,,,12.2,387,A,10.17,35,B,A,2025-11-19T19:04:53.581055447Z,,,,,,,,,,,,,,2025-12-19,29000,0.9771,0.8946,0.0165,0.0198,-0.0362,0.0206,,,,,,,,
BTC270115P00032000,,,,,,,,,5.36,18,U,2.58,14,E, ,2025-11-19T19:00:27.01579058Z,,,,,,,,,,,,,,2027-01-15,32000,0.5097,-0.2328,0.0141,-0.1521,-0.0066,0.1297,,,,,,,,
BTC280121C00046000,12.9,12.9,12.9,1.0,12.9,2025-11-18T05:00:00Z,1.0,12.9,13.76,9,U,10.16,25,E,A,2025-11-19T19:02:06.301478062Z,I,12.9,1.0,2025-11-18T20:41:17.349755541Z,I,12.9,12.9,12.9,1.0,12.9,2025-11-18T20:41:00Z,1.0,12.9,2028-01-21,46000,0.5786,0.6294,0.0112,0.2798,-0.0092,0.2197,12.3,12.3,12.3,1.0,12.3,2025-11-17T05:00:00Z,9.0,12.3
BTC260320C00069000,3.12,3.25,3.12,2.0,3.25,2025-10-03T04:00:00Z,5.0,3.172,0.78,227,A,0.07,18,U,A,2025-11-19T19:04:36.218456284Z,g,3.12,3.0,2025-10-03T17:52:31.474796422Z,C,3.12,3.12,3.12,1.0,3.12,2025-10-03T17:52:00Z,3.0,3.12,2026-03-20,69000,0.5983,0.0788,0.0108,0.0089,-0.0085,0.0334,,,,,,,,
BTC280121C00047000,15.0,15.0,15.0,1.0,15.0,2025-11-04T05:00:00Z,10.0,15.0,13.92,7,S,8.92,11,E,A,2025-11-19T19:03:46.098659845Z,I,15.0,10.0,2025-11-04T17:10:23.848790048Z,J,15.0,15.0,15.0,1.0,15.0,2025-11-04T17:10:00Z,10.0,15.0,2028-01-21,47000,0.5667,0.6155,0.0116,0.2796,-0.0091,0.2222,17.0,17.0,17.0,1.0,17.0,2025-11-03T05:00:00Z,10.0,17.0
BTC260618P00051000,,,,,,,,,14.31,190,A,11.68,547,C,A,2025-11-19T19:04:47.054048027Z,,,,,,,,,,,,,,2026-06-18,51000,0.482,-0.6766,0.0248,-0.2295,-0.0083,0.1078,,,,,,,,
BTC270115C00075000,5.75,5.75,5.75,1.0,5.75,2025-10-17T04:00:00Z,1.0,5.75,4.22,14,E,1.68,14,E,A,2025-11-19T19:04:58.474302062Z,a,5.75,1.0,2025-10-17T18:07:36.919124739Z,C,5.75,5.75,5.75,1.0,5.75,2025-10-17T18:07:00Z,1.0,5.75,2027-01-15,75000,0.5859,0.2608,0.0131,0.0849,-0.0103,0.1379,6.2,6.2,6.2,1.0,6.2,2025-10-14T04:00:00Z,5.0,6.2
