symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC280121P00044000,0.5659,-0.3655,0.0117,-0.6075,-0.0052,0.2136,11.25,11.25,11.25,1.0,11.25,2025-11-04T05:00:00Z,1.0,11.25,16.6,23,A,11.52,25,A,A,2025-11-26T14:47:54.075534031Z,f,11.25,1.0,2025-11-04T19:04:30.563671391Z,I,11.25,11.25,11.25,1.0,11.25,2025-11-04T19:04:00Z,1.0,11.25,2028-01-21,44000,,,,,,,,
BTC280121P00046000,0.5411,-0.395,0.0125,-0.6484,-0.0049,0.2187,,,,,,,,,16.62,6,A,13.02,12,E,A,2025-11-26T14:47:59.375342403Z,,,,,,,,,,,,,,2028-01-21,46000,,,,,,,,
BTC251219P00046000,0.5391,-0.8826,0.0376,-0.0262,-0.0179,0.0191,9.09,9.15,9.06,8.0,9.15,2025-11-21T05:00:00Z,17.0,9.121765,8.15,38,C,6.76,35,B,A,2025-11-26T14:48:00.918111385Z,g,9.09,1.0,2025-11-21T17:06:02.782040563Z,C,9.09,9.09,9.08,4.0,9.08,2025-11-21T17:06:00Z,4.0,9.085,2025-12-19,46000,7.5,7.5,7.5,1.0,7.5,2025-11-20T05:00:00Z,20.0,7.5
BTC270115P00029000,0.515,-0.1919,0.0128,-0.1186,-0.006,0.1127,,,,,,,,,4.57,39,A,1.43,44,A,A,2025-11-26T14:47:40.758246137Z,,,,,,,,,,,,,,2027-01-15,29000,,,,,,,,
BTC270115C00064000,0.5614,0.3171,0.0154,0.0989,-0.0108,0.1471,,,,,,,,,4.98,84,A,2.17,68,A,A,2025-11-26T14:47:46.573679113Z,,,,,,,,,,,,,,2027-01-15,64000,,,,,,,,
BTC280121P00041000,0.5536,-0.3372,0.0116,-0.5379,-0.0051,0.2075,8.97,8.97,8.97,1.0,8.97,2025-11-04T05:00:00Z,1.0,8.97,14.31,22,A,9.54,32,A,A,2025-11-26T14:47:25.512374517Z,g,8.97,1.0,2025-11-04T14:39:41.379171968Z,A,8.97,8.97,8.97,1.0,8.97,2025-11-04T14:39:00Z,1.0,8.97,2028-01-21,41000,8.84,8.84,8.84,1.0,8.84,2025-10-27T04:00:00Z,1.0,8.84
BTC260116P00074000,,,,,,,,,,,,,,,37.12,23,Z,33.38,23,Z, ,2025-11-26T14:36:56.246052291Z,,,,,,,,,,,,,,2026-01-16,74000,,,,,,,,
BTC260320C00046000,0.6019,0.3785,0.0292,0.0368,-0.0229,0.0823,2.2,2.2,2.1,3.0,2.1,2025-11-24T05:00:00Z,3.0,2.133333,3.77,561,A,1.97,21,U,A,2025-11-26T14:47:55.700780724Z,I,2.2,1.0,2025-11-24T16:25:00.835447456Z,A,2.2,2.2,2.2,1.0,2.2,2025-11-24T16:25:00Z,1.0,2.2,2026-03-20,46000,2.05,2.05,1.93,4.0,1.93,2025-11-21T05:00:00Z,13.0,2.031538
BTC270115P00051000,0.5403,-0.549,0.0177,-0.4228,-0.0072,0.1634,13.05,13.05,12.35,2.0,12.35,2025-11-04T05:00:00Z,5.0,12.77,17.42,36,A,14.44,34,A,A,2025-11-26T14:48:00.780653639Z,f,13.05,3.0,2025-11-04T17:09:33.616329661Z,J,13.05,13.05,12.35,2.0,12.35,2025-11-04T17:09:00Z,5.0,12.77,2027-01-15,51000,11.94,11.94,11.94,1.0,11.94,2025-11-03T05:00:00Z,2.0,11.94
BTC270115C00062000,0.5602,0.3354,0.0158,0.104,-0.011,0.1505,10.25,10.25,10.25,1.0,10.25,2025-10-10T04:00:00Z,3.0,10.25,5.28,80,A,2.4,67,A,A,2025-11-26T14:47:10.219459842Z,a,10.25,3.0,2025-10-10T15:36:45.213356294Z,X,10.25,10.25,10.25,1.0,10.25,2025-10-10T15:36:00Z,3.0,10.25,2027-01-15,62000,11.6,11.6,11.6,1.0,11.6,2025-10-06T04:00:00Z,3.0,11.6
BTC260116P00035000,0.5698,-0.2725,0.0403,-0.0169,-0.0256,0.0481,1.42,1.65,1.42,8.0,1.65,2025-11-24T05:00:00Z,32.0,1.497813,1.92,255,X,1.17,226,A,A,2025-11-26T14:47:55.189256439Z,f,1.42,1.0,2025-11-24T19:02:06.626608288Z,M,1.42,1.42,1.42,1.0,1.42,2025-11-24T19:02:00Z,1.0,1.42,2026-01-16,35000,2.2,2.37,1.93,12.0,2.3,2025-11-21T05:00:00Z,67.0,2.329254
BTC260320C00064000,0.6007,0.0978,0.0133,0.0102,-0.0102,0.0373,0.57,0.57,0.57,1.0,0.57,2025-11-17T05:00:00Z,3.0,0.57,1.02,223,A,0.03,959,A,A,2025-11-26T14:47:24.123951567Z,g,0.57,3.0,2025-11-17T20:30:16.144060425Z,C,0.57,0.57,0.57,1.0,0.57,2025-11-17T20:30:00Z,3.0,0.57,2026-03-20,64000,1.32,1.32,1.32,2.0,1.32,2025-11-04T05:00:00Z,3.0,1.32
BTC270115P00033000,0.5152,-0.2625,0.0153,-0.1681,-0.007,0.1346,,,,,,,,,6.17,34,A,3.07,34,A,A,2025-11-26T14:47:53.429122907Z,,,,,,,,,,,,,,2027-01-15,33000,,,,,,,,
BTC260320P00052000,0.5667,-0.7691,0.0248,-0.137,-0.0118,0.0658,7.3,7.3,6.6,4.0,7.18,2025-10-13T04:00:00Z,23.0,7.217391,15.16,41,B,13.04,41,B,A,2025-11-26T14:46:27.696116112Z,g,7.3,10.0,2025-10-13T15:57:47.551149567Z,C,7.3,7.3,7.3,1.0,7.3,2025-10-13T15:57:00Z,10.0,7.3,2026-03-20,52000,5.98,5.98,5.85,3.0,5.85,2025-10-09T04:00:00Z,23.0,5.923478
BTC260320P00056000,0.6354,-0.7964,0.0206,-0.1524,-0.012,0.0612,10.2,10.2,10.2,1.0,10.2,2025-08-05T04:00:00Z,1.0,10.2,19.23,47,B,16.71,47,B, ,2025-11-26T14:46:27.702635988Z,I,10.28,1.0,2025-08-05T14:42:23.458168002Z,X,10.2,10.2,10.2,1.0,10.2,2025-08-05T14:42:00Z,1.0,10.2,2026-03-20,56000,,,,,,,,
BTC270115P00046000,0.5135,-0.4883,0.0188,-0.3511,-0.0073,0.1646,12.95,13.0,12.95,2.0,13.0,2025-11-21T05:00:00Z,5.0,12.96,13.86,38,A,10.1,56,A,A,2025-11-26T14:47:35.045227069Z,a,12.95,4.0,2025-11-21T17:07:28.520362236Z,X,12.95,13.0,12.95,2.0,13.0,2025-11-21T17:07:00Z,5.0,12.96,2027-01-15,46000,10.9,10.9,10.9,1.0,10.9,2025-11-18T05:00:00Z,1.0,10.9
BTC251219C00034000,0.5883,0.834,0.0436,0.017,-0.0339,0.0242,5.12,5.12,5.12,1.0,5.12,2025-11-24T05:00:00Z,1.0,5.12,5.92,512,A,4.76,225,E,A,2025-11-26T14:47:52.148153146Z,g,5.12,1.0,2025-11-24T14:33:03.933704668Z,A,5.12,5.12,5.12,1.0,5.12,2025-11-24T14:33:00Z,1.0,5.12,2025-12-19,34000,4.68,4.68,4.68,1.0,4.68,2025-11-21T05:00:00Z,1.0,4.68
BTC260116P00046000,0.5187,-0.7777,0.0397,-0.0531,-0.0179,0.0431,5.71,5.71,5.71,1.0,5.71,2025-11-17T05:00:00Z,5.0,5.71,8.72,83,X,7.11,51,B,A,2025-11-26T14:47:58.591436352Z,g,5.71,5.0,2025-11-17T14:40:07.809113778Z,C,5.71,5.71,5.71,1.0,5.71,2025-11-17T14:40:00Z,5.0,5.71,2026-01-16,46000,5.5,5.5,5.5,1.0,5.5,2025-11-14T05:00:00Z,1.0,5.5
BTC260618C00058000,0.5719,0.247,0.0191,0.0423,-0.0136,0.0914,,,,,,,,,3.66,419,A,0.33,419,A,A,2025-11-26T14:47:37.98754265Z,,,,,,,,,,,,,,2026-06-18,58000,,,,,,,,
