symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251219C00032000,,,,,,,,,9.39,665,X,7.58,169,X, ,2025-11-19T19:07:30.2977778Z,,,,,,,,,,,,,,2025-12-19,32000,,,,,,,,,0.861,0.8373,0.0253,0.0202,-0.0426,0.0278
BTC260116C00030000,12.13,12.13,12.13,2.0,12.13,2025-11-18T05:00:00Z,5.0,12.13,12.12,664,X,10.14,26,E,A,2025-11-19T19:11:16.836718082Z,a,12.13,3.0,2025-11-18T19:41:53.159028873Z,E,12.13,12.13,12.13,2.0,12.13,2025-11-18T19:41:00Z,5.0,12.13,2026-01-16,30000,23.7,23.7,23.7,1.0,23.7,2025-10-10T04:00:00Z,1.0,23.7,0.8967,0.8318,0.0178,0.0344,-0.0329,0.0395
BTC280121P00041000,8.97,8.97,8.97,1.0,8.97,2025-11-04T05:00:00Z,1.0,8.97,13.55,11,N,9.09,21,A,A,2025-11-19T19:11:13.709014526Z,g,8.97,1.0,2025-11-04T14:39:41.379171968Z,A,8.97,8.97,8.97,1.0,8.97,2025-11-04T14:39:00Z,1.0,8.97,2028-01-21,41000,8.84,8.84,8.84,1.0,8.84,2025-10-27T04:00:00Z,1.0,8.84,0.537,-0.3311,0.0116,-0.5296,-0.0049,0.2108
BTC270115C00020000,22.0,22.0,22.0,1.0,22.0,2025-11-19T05:00:00Z,10.0,22.0,23.55,12,E,20.44,13,E, ,2025-11-19T19:00:27.013179195Z,I,22.0,10.0,2025-11-19T17:33:25.200813538Z,U,22.0,22.0,22.0,1.0,22.0,2025-11-19T17:33:00Z,10.0,22.0,2027-01-15,20000,27.0,27.0,27.0,1.0,27.0,2025-11-06T05:00:00Z,1.0,27.0,0.696,0.9091,0.0055,0.1602,-0.007,0.0694
BTC251121C00043000,0.07,0.07,0.07,2.0,0.07,2025-11-19T05:00:00Z,9.0,0.07,0.17,23,U,0.0,0,?,A,2025-11-19T19:07:09.342666305Z,g,0.07,1.0,2025-11-19T17:32:55.00669187Z,C,0.07,0.07,0.07,1.0,0.07,2025-11-19T17:32:00Z,1.0,0.07,2025-11-21,43000,0.27,0.44,0.18,12.0,0.18,2025-11-18T05:00:00Z,48.0,0.255208,,,,,,
BTC280121P00046000,,,,,,,,,16.59,3,C,12.32,12,E,A,2025-11-19T19:11:13.709034516Z,,,,,,,,,,,,,,2028-01-21,46000,,,,,,,,,0.5386,-0.3848,0.0122,-0.6437,-0.0049,0.2222
BTC280121P00049000,16.14,16.14,16.14,1.0,16.14,2025-11-17T05:00:00Z,50.0,16.14,18.53,9,N,14.54,14,E,A,2025-11-19T19:11:13.708366693Z,a,16.14,50.0,2025-11-17T17:47:36.074625551Z,J,16.14,16.14,16.14,1.0,16.14,2025-11-17T17:47:00Z,50.0,16.14,2028-01-21,49000,13.99,13.99,13.99,1.0,13.99,2025-11-11T05:00:00Z,50.0,13.99,0.5434,-0.4135,0.0123,-0.7136,-0.0048,0.2264
BTC270115P00033000,,,,,,,,,5.62,12,E,2.64,12,E,A,2025-11-19T19:10:45.048777374Z,,,,,,,,,,,,,,2027-01-15,33000,,,,,,,,,0.4899,-0.2489,0.0153,-0.1612,-0.0065,0.1344
BTC260116C00049000,0.8,0.8,0.8,1.0,0.8,2025-11-19T05:00:00Z,1.0,0.8,1.27,318,X,0.08,1315,A,A,2025-11-19T19:11:01.262504164Z,I,0.8,1.0,2025-11-19T17:38:50.248041904Z,C,0.8,0.8,0.8,1.0,0.8,2025-11-19T17:38:00Z,1.0,0.8,2026-01-16,49000,0.96,0.96,0.96,1.0,0.96,2025-11-18T05:00:00Z,1.0,0.96,0.5065,0.1728,0.0321,0.0098,-0.0182,0.0402
BTC251121C00058000,0.02,0.02,0.02,1.0,0.02,2025-11-14T05:00:00Z,5.0,0.02,0.17,24,E,0.0,0,?, ,2025-11-19T19:03:31.694821038Z,a,0.02,5.0,2025-11-14T17:56:01.310353478Z,X,0.02,0.02,0.02,1.0,0.02,2025-11-14T17:56:00Z,5.0,0.02,2025-11-21,58000,0.04,0.04,0.04,1.0,0.04,2025-11-13T05:00:00Z,1.0,0.04,,,,,,
